champname,title,lore,hp,armor,magicResist,attackRange,attackDamage,attackSpeed,q_name,q_description,w_name,w_description,e_name,e_description,r_name,r_description
"Nami","the Tidecaller","A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred ritual that would ensure the safety of her people. Amidst the chaos of this new age, Nami faces an uncertain future with grit and determination, using her Tidecaller staff to summon the strength of the oceans themselves.","490","29","30","550","51","0.644","Aqua Prison","Sends a bubble to a target area, dealing damage and stunning all enemies on impact.","Ebb and Flow","Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies.","Tidecaller's Blessing","Empowers an allied champion for a short duration. The ally's basic attacks and spells deal bonus magic damage and slow the target.","Tidal Wave","Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides."
"Nasus","the Curator of the Sands","Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient empire of Shurima to greatness for many centuries. After the fall of the empire, he went into self-imposed exile, becoming little more than a legend. Now that the ancient city of Shurima has risen once more, he has returned, determined to ensure it never falls again.","561","34","32","125","67","0.638","Siphoning Strike","Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target.","Wither","Nasus ages an enemy champion, decelerating their Move Speed and Attack Speed over time.","Spirit Fire","Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it.","Fury of the Sands","Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, damages nearby enemies, has a reduced cooldown on Siphoning Strike, and gains bonus Armor and Magic Resistance."
"Nautilus","the Titan of the Depths","A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to save the wretched, and drag the greedy to their doom. It is said he comes for those who forget to pay the “Bilgewater tithe”, pulling them down beneath the waves with him—an iron-clad reminder that none can escape the depths.","576","39","32","175","61","0.706","Dredge Line","Nautilus hurls his anchor forward.  Colliding with an enemy pulls them and Nautilus together, dealing magic damage.  Colliding with terrain pulls Nautilus towards it.","Titan's Wrath","Nautilus gains a temporary Shield.  While it persists, his Attacks deal damage over time to his target and surrounding enemies.","Riptide","Nautilus creates three exploding waves around himself. Each explosion damages and slows enemies.","Depth Charge","Nautilus fires a shockwave into the earth that chases an opponent. This shockwave rips up the earth above it, knocking enemies into the air. When it reaches the opponent, the shockwave erupts, knocking his target into the air and stunning them."
"Neeko","the Curious Chameleon","Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be, but those who intend to do her harm will soon witness her true colors revealed, and feel the full power of her primordial spirit magic unleashed upon them.","540","21","30","550","48","0.625","Blooming Burst","Neeko throws a seed dealing magic damage. The seed blooms again on hitting champions or killing units.","Shapesplitter","Neeko passively deals bonus magic damage every third attack. Neeko can activate to send a clone in a direction.","Tangle-Barbs","Neeko slings a tangle that damage and root everything it passes through. If the tangle kills an enemy or passes through a champion, it becomes larger, faster, and roots for longer.","Pop Blossom","After a short preparation, Neeko leaps into the air and gains a shield. Upon landing, nearby enemies are damaged and stunned. The preparation is hidden if Neeko is disguised."
"Nidalee","the Bestial Huntress","Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear throws. She cripples her quarry before pouncing on them in feline form—the lucky few who survive tell tales of a wild woman with razor-sharp instincts, and even sharper claws...","570","28","30","525","58","0.638","Javelin Toss / Takedown","In human form, Nidalee throws a spiked javelin at her target that gains damage as it flies.  As a cougar, her next attack will attempt to fatally wound her target, dealing more damage the less life they have.","Bushwhack / Pounce","In human form, Nidalee lays a trap for unwary opponents that, when sprung, damages and reveals its target. As a cougar, she jumps in a direction, dealing damage in an area where she lands.","Primal Surge / Swipe","In human form, Nidalee channels the spirit of the cougar to heal her allies and imbue them with Attack Speed for a short duration. As a cougar, she claws in a direction, dealing damage to enemies in front of her.","Aspect Of The Cougar","Nidalee transforms into a cougar, gaining new abilities."
"Nocturne","the Eternal Nightmare","A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking blades. After freeing itself from the spirit realm, Nocturne descended upon the waking world, to feed upon the kind of terror that can only thrive in true darkness.","585","38","32","125","62","0.721","Duskbringer","Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Movement Speed and Attack Damage.","Shroud of Darkness","Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful.","Unspeakable Horror","Nocturne plants a nightmare into his target's mind, dealing damage each second and applying fear to the target if they do not get out of range by the end of the duration.","Paranoia","Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion."
"Nunu","the Boy and His Yeti","Once upon a time, there was a boy who wanted to prove he was a hero by slaying a fearsome monster—only to discover that the beast, a lonely and magical yeti, merely needed a friend. Bound together by ancient power and a shared love of snowballs, Nunu and Willump now ramble wildly across the Freljord, breathing life into imagined adventures. They hope that somewhere out there, they will find Nunu's mother. If they can save her, maybe they will be heroes after all…","540","29","32","125","61","0.625","Consume","Willump takes a bite out of a minion, monster, or enemy champion, dealing damage and healing himself.","Biggest Snowball Ever!","Willump creates a snowball that grows in size and speed as he rolls it.  The snowball damages and knocks up enemies.","Snowball Barrage","Nunu throws multiple snowballs that damage enemies.  When he's finished, Willump roots any champions or large monsters that were hit by a snowball.","Absolute Zero","Nunu & Willump create a powerful blizzard in an area that slows enemies and deals massive damage at the end."
"Olaf","the Berserker","An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passing—a coward's fate, and a great insult among his people. Seeking death, and fueled by rage, he rampaged across the land, slaughtering scores of great warriors and legendary beasts in search of any opponent who could stop him. Now a brutal enforcer for the Winter's Claw, he seeks his end in the great wars to come.","575","35","32","125","68","0.694","Undertow","Olaf throws an axe into the ground at a target location, dealing damage to enemies it passes through and slowing their Move Speed. If Olaf picks up the axe, the ability's cooldown is reduced by 4.5 seconds.","Vicious Strikes","Olaf's Attack Speed is increased, he gains Life Steal and has increased healing from all sources based on how much Health he is missing.","Reckless Swing","Olaf attacks with such force that it deals true damage to his target and himself, refunding the Health cost if he destroys the target.","Ragnarok","Olaf temporarily becomes immune to disables."
"Orianna","the Lady of Clockwork","Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice, piece by piece. Accompanied by an extraordinary brass sphere she built for companionship and protection, Orianna is now free to explore the wonders of Piltover, and beyond.","530","17","26","525","40","0.658","Command: Attack","Orianna commands her Ball to fire toward a target location, dealing magic damage to targets along the way (deals less damage to subsequent targets). Her Ball remains at the target location after.","Command: Dissonance","Orianna commands her Ball to release a pulse of energy, dealing magic damage around it. This leaves a field behind that speeds up allies and slows enemies.","Command: Protect","Orianna commands her Ball to attach to an allied champion, Shielding them and dealing magic damage to any enemies it passes through on the way. Additionally, the Ball grants additional Armor and Magic Resist to the champion it is attached to.","Command: Shockwave","Orianna commands her Ball to unleash a shockwave, dealing magic damage and launching nearby enemies towards the Ball after a short delay."
"Ornn","The Fire below the Mountain","Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion items of unsurpassed quality. When other deities—especially Volibear—walk the earth and meddle in mortal affairs, Ornn arises to put these impetuous beings back in their place, either with his trusty hammer or the fiery power of the mountains themselves.","590","33","32","175","69","0.625","Volcanic Rupture","Ornn slams the ground, sending out a fissure dealing damage and slowing enemies hit. After a small delay, a magma pillar forms at the end location.","Bellows Breath","Ornn advances, breathing fire. Enemies hit by the final gout of flame become Brittle.","Searing Charge","Ornn charges, dealing damage to enemies he passes through. If Ornn collides with terrain while charging, the impact creates a shockwave around him which deals damage and knocks up enemies.","Call of the Forge God","Ornn summons a massive elemental at a location which travels toward him with increasing speed. Enemies run over by the elemental take damage, are slowed and are made Brittle. Ornn can recast the ability to charge into the elemental, redirecting it in the direction he hits it, causing the elemental to affect any enemies it runs over to be knocked up, dealing the same damage and re-applying Brittle."
"Pantheon","the Unbreakable Spear","Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn resilience that goes along with it. Atreus now opposes the divine as Pantheon reborn, his unbreakable will fueling the fallen Aspect's weapons on the field of battle.","580","40","28","175","64","0.644","Comet Spear","Pantheon either thrusts his spear or throws his spear in the chosen direction.","Shield Vault","Pantheon dashes to a target, damaging and stunning them.","Aegis Assault","Pantheon sets his shield, becoming invulnerable to damage from the front and striking repeatedly with his spear.","Grand Starfall","Pantheon composes himself and then leaps into the air, landing at a chosen location as a comet."
"Poppy","Keeper of the Hammer","Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled “Hero of Demacia,” said to be its rightful wielder. Until then, she dutifully charges into battle, pushing back the kingdom's enemies with every whirling strike.","540","38","32","125","64","0.625","Hammer Shock","Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay.","Steadfast Presence","Poppy passively gains Armor and Magic Resist. This bonus increases when she is low on Health. Poppy can activate Steadfast Presence to gain movement speed and stop enemy dashes around her. If a dash is stopped, the enemy is slowed and grounded.","Heroic Charge","Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned.","Keeper's Verdict","Poppy channels a hammer strike that knocks enemies very far away."
"Pyke","the Bloodharbor Ripper","A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish… and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural gifts to bring a swift and gruesome end to those who make their fortune by exploiting others—and a city that prides itself on hunting monsters now finds a monster hunting them.","600","45","32","150","62","0.667","Bone Skewer","Pyke either stabs an enemy in front of him or pulls an enemy towards him.","Ghostwater Dive","Pyke enters Camouflage and gains significant movement speed that decays over time.","Phantom Undertow","Pyke dashes and leaves behind a phantom that will return to him, stunning enemy champions along its path.","Death From Below","Pyke blinks to and executes low health enemies, allowing him to cast this spell again and granting additional gold to an ally who assists."
"Qiyana","Empress of the Elements","In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the land itself obeying her every command, Qiyana sees herself as the greatest elementalist in the history of Ixaocan—and by that right, deserving of not only a city, but an empire.","590","28","32","150","66","0.688","Elemental Wrath / Edge of Ixtal","Qiyana swings her weapon, dealing damage with a bonus effect based on her element.","Terrashape","Qiyana dashes to a location and enchants her weapon with an element. Her attacks and abilities deal bonus damage while her weapon is enchanted. ","Audacity","Qiyana dashes to an enemy, damaging them.","Supreme Display of Talent","Qiyana sends out a shockwave that detonates whatever elements she hits with it, stunning and damaging nearby enemies."
"Quinn","Demacia's Wings","Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two of the kingdom's greatest heroes. Nimble and acrobatic when required, Quinn takes aim with her crossbow while Valor marks their elusive targets from above, making them a deadly pair on the battlefield.","533","28","30","525","59","0.668","Blinding Assault","Quinn calls Valor to mark an enemy and hinder its vision before damaging all enemies in the immediate area.","Heightened Senses","Passively grants Quinn Attack Speed and Movement Speed after she attacks a <font color='#FFF673'>Vulnerable</font> target. Activate to have Valor reveal a large area nearby.","Vault","Quinn dashes to an enemy, dealing physical damage and slowing the target's Movement Speed. Upon reaching the target, she leaps off the target, briefly interrupting it, and lands near her maximum Attack Range away from the target.","Behind Enemy Lines","Quinn and Valor team up to fly around at great speed.  Ending the ability casts Skystrike, which deals damage to nearby enemies and marks champions as Vulnerable."
"Rakan","The Charmer","As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties, and anarchic music. Few would suspect this energetic, traveling showman is also partner to the rebel Xayah, and is dedicated to her cause.","540","32","32","300","62","0.635","Gleaming Quill","Flings a magical feather that deals magic damage. Striking a champion or epic monster enables Rakan to heal his allies.","Grand Entrance","Dashes to a location, knocking up nearby enemies on arrival.","Battle Dance","Flies to an allied champion granting them a shield. Can be re-cast for free for a short duration.","The Quickness","Gains movement speed, charming and dealing magic damage to enemies touched."
"Rammus","the Armordillo","Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goes—from demigod, to sacred oracle, to a mere beast transformed by magic. Whatever the truth may be, Rammus keeps his own counsel and stops for no one as he roams the Shuriman desert.","564","36","32","125","56","0.656","Powerball","Rammus accelerates in a ball towards his enemies, dealing damage and slowing targets affected by the impact.","Defensive Ball Curl","Rammus goes into a defensive formation, vastly increasing his Armor and Magic Resistance, amplifying Spiked Shells' damage, and returning damage to enemies that basic attack him, but he is also slowed during this time.","Frenzying Taunt","Rammus taunts an enemy champion or monster into a reckless assault against him. Additionally, he gains increased Attack Speed for a short time, but this bonus is extended by having any of his other spells active.","Soaring Slam","Rammus hops into the air and slams down at a target area, dealing magic damage and slowing enemies. If cast while Rammus is in Powerball, Rammus knocks up enemies near the center as well."
"RekSai","the Void Burrower","An apex predator, Rek'Sai is a merciless Void-spawn that tunnels beneath the ground to ambush and devour unsuspecting prey. Her insatiable hunger has laid waste to entire regions of the once-great empire of Shurima—merchants, traders, even armed caravans, will go hundreds of miles out of their way to avoid her and her offspring's hunting grounds. All know that once Rek'Sai is seen on the horizon, death from below is all but guaranteed.","570","36","32","175","64","0.667","Queen's Wrath / Prey Seeker","Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies.<br><br>While Burrowed, Rek'Sai launches a burst of void-charged earth that deals Physical Damage and reveals enemies hit.","Burrow / Un-burrow","Rek'Sai burrows into the ground, gaining new abilities and increased Movement Speed. Her vision range is reduced and she cannot use basic attacks.<br><br>While Burrowed, Rek'Sai may cast Un-burrow to knock up and damage nearby enemies.","Furious Bite / Tunnel","Rek'Sai bites her target, dealing double and True Damage if she has max Fury.<br><br>While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance.","Void Rush","Rek'sai passively marks targets by damaging them. She can activate this ability to become briefly untargetable and lunge at a marked target for heavy damage based on their missing health."
"Rell","the Iron Maiden","The product of brutal experimentation at the hands of the Black Rose, Rell is a defiant, living weapon determined to topple Noxus. Her childhood was one of misery and horror, enduring unspeakable procedures to perfect and weaponize her magical control over metal... until she staged a violent escape, killing many of her captors in the process. Now branded as a criminal, Rell attacks Noxian soldiers on sight as she searches for survivors of her old “academy,” defending the meek while delivering violent death to her former overseers.","540","32","32","175","55","0.55","Shattering Strike","Rell thrusts her lance to deal <magicDamage>magic damage</magicDamage> to units in a line, breaking their Shields.  The first unit hit additionally suffers <spellName>Break the Mold</spellName>'s defense steal. <br><br>If Rell is bound to an ally with <spellName>Attract and Repel</spellName>, they both recover health for each enemy champion hit by this spell.","Ferromancy: Crash Down","<spellPassive>Passive:</spellPassive> Rell gains additional Move Speed while mounted and additional <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR> while armored.<br><br><spellActive>Active:</spellActive> Rell changes forms, casting a different spell based on form.<li> Mounted: Rell crashes down in her armor, knocking enemies up and gaining a large shield.</li><li> Armored: Rell forms her mount, gaining a burst of speed and flipping the next enemy she attacks.</li>","Attract and Repel","Rell binds a piece of her Armor to another allied champion to grant them <scaleArmor>Armor</scaleArmor> and <scaleMR>Magic Resist</scaleMR> while near.<br><br>While she has an ally bound in this way, Rell can cast this ability without targeting an allied champion to snap the binding and <status>Stun</status> enemies caught in it.","Magnet Storm","Rell explodes in a magnetic fury, violently <status>Pulling</status> nearby enemies towards herself. Then Rell constantly <status>Drags</status> nearby enemies towards herself for a short while, dealing <magicDamage>magic damage</magicDamage> over time."
"Renekton","the Butcher of the Sands","Renekton is a terrifying, rage-fueled Ascended being from the scorched deserts of Shurima. Once, he was his empire's most esteemed warrior, leading the nation's armies to countless victories. However, after the empire's fall, Renekton was entombed beneath the sands, and slowly, as the world turned and changed, he succumbed to insanity. Now free once more, he is utterly consumed with finding and killing his brother, Nasus, who he blames, in his madness, for the centuries he spent in darkness.","590","35","32","125","69","0.665","Cull the Meek","Renekton swings his blade, dealing moderate physical damage to all targets around him, and heals for a small portion of the damage dealt. If he has more than 50 Fury, his damage and heal are increased.","Ruthless Predator","Renekton slashes his target twice, dealing moderate physical damage and stuns them for 0.75 seconds. If Renekton has more than 50 Fury, he slashes his target three times, destroying damage shields on the target, dealing high physical damage, and stunning them for 1.5 seconds.","Slice and Dice","Renekton dashes, dealing damage to units along the way. Empowered, Renekton deals bonus damage and reduces the Armor of units hit.","Dominus","Renekton transforms into the Tyrant form, gaining bonus Health and dealing damage to enemies around him. While in this form, Renekton gains Fury periodically."
"Rengar","the Pridestalker","Rengar is a ferocious vastayan trophy hunter who lives for the thrill of tracking down and killing dangerous creatures. He scours the world for the most fearsome beasts he can find, especially seeking any trace of Kha'Zix, the void creature who scratched out his eye. Rengar stalks his prey neither for food nor glory, but for the sheer beauty of the pursuit.","585","34","32","125","68","0.667","Savagery","Rengar's next attack brutally stabs his target for bonus damage.<br><br>Ferocity effect: deals increased damage and grants Attack Speed.","Battle Roar","Rengar lets out a battle roar, damaging enemies and healing for some of the recent damage he has taken.<br><br>Ferocity effect: additionally breaks crowd control effects.","Bola Strike","Rengar throws a bola, slowing the first target hit for a short duration.<br><br>Ferocity effect: roots the target.","Thrill of the Hunt","Rengar's predatory instincts take over, <font color='#cd90ee'>Camouflaging</font> him and revealing the nearest enemy champion in a large radius around him. During Thrill of the Hunt, Rengar gains Movement Speed and he can leap to the tracked enemy without being in brush, reducing their armor."
"Riven","the Exile","Once a swordmaster in the warhosts of Noxus, Riven is an expatriate in a land she previously tried to conquer. She rose through the ranks on the strength of her conviction and brutal efficiency, and was rewarded with a legendary runic blade and a warband of her own. However, on the Ionian front, Riven's faith in her homeland was tested and ultimately broken. Having severed all ties to the empire, she now seeks to find her place in a shattered world, even as rumors abound that Noxus itself has been reforged...","560","33","32","125","64","0.625","Broken Wings","Riven lashes out in a series of strikes. This ability can be reactivated three times in a short time frame with the third hit knocking back nearby enemies.","Ki Burst","Riven emits a Ki Burst, damaging and stunning nearby enemies.","Valor","Riven steps forward a short distance and blocks incoming damage.","Blade of the Exile","Riven empowers her keepsake weapon with energy, and gains Attack Damage and Range. During this time, she also gains the ability to use Wind Slash, a powerful ranged attack, once."
"Rumble","the Mechanized Menace","Rumble is a young inventor with a temper. Using nothing more than his own two hands and a heap of scrap, the feisty yordle constructed a colossal mech suit outfitted with an arsenal of electrified harpoons and incendiary rockets. Though others may scoff and sneer at his junkyard creations, Rumble doesn't mind—after all, he's the one with the flamespitter.","589","31","28","125","61","0.644","Flamespitter","Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased.","Scrap Shield","Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased.","Electro Harpoon","Rumble launches a harpoon, electrocuting his target with magic damage, slowing their Move Speed, and reducing their Magic Resist. Rumble can carry 2 harpoons at a time. While in Danger Zone the damage and slow percentage is increased.","The Equalizer","Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies."
"Ryze","the Rune Mage","Widely considered one of the most adept sorcerers on Runeterra, Ryze is an ancient, hard-bitten archmage with an impossibly heavy burden to bear. Armed with immense arcane power and a boundless constitution, he tirelessly hunts for World Runes—fragments of the raw magic that once shaped the world from nothingness. He must retrieve these artifacts before they fall into the wrong hands, for Ryze understands the horrors they could unleash on Runeterra.","575","22","36","550","58","0.625","Overload","Passively, Ryze's other basic abilities reset the cooldown of Overload and charge a rune. When Ryze casts Overload with 2 runes charged, he gains a brief burst of Movement Speed.<br><br>On cast, Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. If the target has Flux on it, Overload deals extra damage and bounces to nearby enemies with Flux.","Rune Prison","Ryze traps a target in a cage of runes, damaging them and slowing their movement. If the target has Flux on it, they are instead rooted.","Spell Flux","Ryze releases an orb of pure magical power that damages an enemy and debuffs all nearby enemies. Ryze's spells have additional effects against the debuffed enemy.","Realm Warp","Passively, Overload deals even more damage against targets with Flux.<br><br>On cast, Ryze creates a portal to a nearby location. After a few seconds, allies standing near the portal are teleported to the target location."
"Samira","the Desert Rose","Samira stares death in the eye with unyielding confidence, seeking thrill wherever she goes. After her Shuriman home was destroyed as a child, Samira found her true calling in Noxus, where she built a reputation as a stylish daredevil taking on dangerous missions of the highest caliber. Wielding black-powder pistols and a custom-engineered blade, Samira thrives in life-or-death circumstances, eliminating any who stand in her way with flash and flair.","530","26","30","500","57","0.658","Flair","Samira fires a shot or swings her sword, dealing damage. If cast during Wild Rush, strike all enemies in her path upon completion.","Blade Whirl","Samira slashes around her, damaging enemies and destroying enemy missiles.","Wild Rush","Samira dashes through an enemy (including structures), slashing enemies she passes through and gaining Attack Speed. Killing an enemy champion refreshes this ability's cooldown.","Inferno Trigger","Samira unleashes a torrent of shots from her weapons, wildly shooting all enemies surrounding her."
"Sejuani","Fury of the North","Sejuani is the brutal, unforgiving Iceborn warmother of the Winter's Claw, one of the most feared tribes of the Freljord. Her people's survival is a constant, desperate battle against the elements, forcing them to raid Noxians, Demacians, and Avarosans alike to survive the harsh winters. Sejuani herself spearheads the most dangerous of these attacks from the saddle of her drüvask boar Bristle, using her True Ice flail to freeze and shatter her enemies.","560","34","32","150","66","0.688","Arctic Assault","Sejuani charges forward, knocking enemies into the air. The charge stops after hitting an enemy champion.","Winter's Wrath","Sejuani swings her mace twice, dealing damage, slowing enemies and applying Frost stacks.","Permafrost","Sejuani freezes and stuns an enemy champion that has maximum Frost stacks.","Glacial Prison","Sejuani throws her bola that freezes and stuns the first champion hit and creates an ice storm that slows other enemies."
"Senna","the Redeemer","Cursed from childhood to be haunted by the supernatural Black Mist, Senna joined a sacred order known as the Sentinels of Light, and fiercely fought back—only to be killed, her soul imprisoned in a lantern by the cruel wraith Thresh. But refusing to lose hope, within the lantern Senna learned to use the Mist, and reemerged to new life, forever changed. Now wielding darkness along with light, Senna seeks to end the Black Mist by turning it against itself—with every blast of her relic weapon, redeeming the souls lost within.","520","28","30","600","50","0.625","Piercing Darkness","From the twin barrels of her Relic Cannon, Senna fires a unified beam of light and shadow through a target, healing allies and damaging enemies.","Last Embrace","Senna sends forth a wave of Black Mist. If it hits an enemy it latches onto them hungrily, rooting them and everything nearby after a brief delay.","Curse of the Black Mist","Senna draws the Mist she has stored in her weapon into a storm around her, embracing darkness and becoming a wraith within. Allies who enter the area are camouflaged and also appear as wraiths as the Mist shrouds them. Wraiths gain increased Move Speed, are unselectable, and hide their identities.","Dawning Shadow","Senna calls upon the relic stones of fallen Sentinels, splitting her relic cannon into a holy array of shadow and light. She then fires a global beam that shields allies from harm, while damaging enemies caught in the center."
"Seraphine","the Starry-Eyed Songstress","Born in Piltover to Zaunite parents, Seraphine can hear the souls of others—the world sings to her, and she sings back. Though these sounds overwhelmed her in her youth, she now draws on them for inspiration, turning the chaos into a symphony. She performs for the sister cities to remind their citizens that they're not alone, that they're stronger together, and that, in her eyes, their potential is limitless.","500","19","30","525","55","0.669","Encore","Seraphine deals damage and charms enemies hit, refreshing the range with every allied or enemy champion hit.","Surround Sound","Seraphine Shields and Hastes nearby allies. If she is already Shielded she will Heal nearby allies as well.","High Note","Seraphine deals damage in an area.","Beat Drop","Seraphine deals damage and impairs the movement of enemies in a line."
"Sett","the Boss","A leader of Ionia's growing criminal underworld, Sett rose to prominence in the wake of the war with Noxus. Though he began as a humble challenger in the fighting pits of Navori, he quickly gained notoriety for his savage strength, and his ability to take seemingly endless amounts of punishment. Now, having climbed through the ranks of local combatants, Sett has muscled to the top, reigning over the pits he once fought in.","600","33","32","125","60","0.625","Knuckle Down","Sett's next two attacks deal additional damage based off of the target's max health. Sett also gains movement speed while moving towards enemy champions.","Haymaker","Sett passively stores damage he takes as Grit. On cast, Sett expends all stored Grit to gain a shield and punch an area, dealing true damage in the center and physical damage on the sides.","Facebreaker","Sett pulls in all enemies on opposite sides of him, dealing damage and stunning them. If enemies were only on one side, they are slowed instead of stunned.","The Show Stopper","Sett carries an enemy champion through the air and slams them into the ground, dealing damage and slowing all enemies near where they land."
"Shaco","the Demon Jester","Crafted long ago as a plaything for a lonely prince, the enchanted marionette Shaco now delights in murder and mayhem. Corrupted by dark magic and the loss of his beloved charge, the once-kind puppet finds pleasure only in the misery of the poor souls he torments. He uses toys and simple tricks to deadly effect, finding the results of his bloody “games” hilarious—and for those who hear a dark chuckle in the dead of night, the Demon Jester may have marked them as his next plaything.","560","30","32","125","63","0.694","Deceive","Shaco becomes Invisible and teleports to target location.<br><br>His first attack while Invisible is empowered, dealing bonus damage and critically striking if he attacks from behind.","Jack In The Box","Shaco creates a hidden animated Jack-in-the-Box. When triggered, it will fear and attack nearby enemies.","Two-Shiv Poison","Shaco's Shivs passively poison targets on hit, slowing their movement speed. He can throw his Shivs to deal damage and poison the target. The thrown Shiv deals bonus damage if the target is below 30% health.","Hallucinate","Shaco creates an illusion of himself near him, which can attack nearby enemies (Deals reduced damage to turrets).  Upon death, it explodes, spawning three mini Jack in the Boxes and dealing damage to nearby enemies."
"Shen","the Eye of Twilight","Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit realm and the physical world. Tasked with enforcing the equilibrium between them, Shen wields blades of steel and arcane energy against any who would threaten it.","540","34","32","125","60","0.751","Twilight Assault","Shen recalls his spirit blade to attack with it, dealing damage based on the target's max health. The attacks are greatly empowered if it collides with an enemy champion, and all collided enemies are slowed while running away from Shen.","Spirit's Refuge","Attacks that would hit Shen or his allies near his spirit blade are blocked.","Shadow Dash","Shen dashes in a direction, taunting enemies in his path.","Stand United","Shen shields target allied champion from incoming damage, and soon after teleports to their location."
